dates,Close,SandP_Change
6/19/1959,57.130001,0.00140
6/22/1959,57.130001,0.00000
6/23/1959,57.119999,-0.00020
6/24/1959,57.41,0.00510
6/25/1959,57.73,0.00560
6/26/1959,57.98,0.00430
6/29/1959,58.369999,0.00670
6/30/1959,58.470001,0.00170
7/1/1959,58.970001,0.00860
7/2/1959,59.279999,0.00530
7/6/1959,59.650002,0.00620
7/7/1959,60.009998,0.00600
7/8/1959,60.029999,0.00030
7/9/1959,59.970001,-0.00100
7/10/1959,59.91,-0.00100
7/13/1959,59.41,-0.00830
7/14/1959,59.549999,0.00240
7/15/1959,59.59,0.00070
7/16/1959,59.41,-0.00300
7/17/1959,59.189999,-0.00370
7/20/1959,58.91,-0.00470
7/21/1959,59.41,0.00850
7/22/1959,59.610001,0.00340
7/23/1959,59.669998,0.00100
7/24/1959,59.650002,-0.00030
7/27/1959,60.02,0.00620
7/28/1959,60.32,0.00500
7/29/1959,60.619999,0.00500
7/30/1959,60.5,-0.00200
7/31/1959,60.509998,0.00020
8/3/1959,60.709999,0.00330
8/4/1959,60.610001,-0.00160
8/5/1959,60.299999,-0.00510
8/6/1959,60.240002,-0.00100
8/7/1959,59.869999,-0.00610
8/10/1959,58.619999,-0.02090
8/11/1959,59.389999,0.01310
8/12/1959,59.25,-0.00240
8/13/1959,59.150002,-0.00170
8/14/1959,59.290001,0.00240
8/17/1959,59.169998,-0.00200
8/18/1959,58.619999,-0.00930
8/19/1959,58.27,-0.00600
8/20/1959,59.139999,0.01490
8/21/1959,59.080002,-0.00100
8/24/1959,58.869999,-0.00360
8/25/1959,58.990002,0.00200
8/26/1959,59.07,0.00140
8/27/1959,59.580002,0.00860
8/28/1959,59.599998,0.00030
8/31/1959,59.599998,0.00000
9/1/1959,58.869999,-0.01220
9/2/1959,58.919998,0.00080
9/3/1959,58.259998,-0.01120
9/4/1959,58.540001,0.00480
9/8/1959,57.700001,-0.01430
9/9/1959,57.290001,-0.00710
9/10/1959,56.990002,-0.00520
9/11/1959,57.41,0.00740
9/14/1959,56.990002,-0.00730
9/15/1959,56.68,-0.00540
9/16/1959,56.720001,0.00070
9/17/1959,56.41,-0.00550
9/18/1959,56.189999,-0.00390
9/21/1959,55.27,-0.01640
9/22/1959,55.139999,-0.00240
9/23/1959,55.82,0.01230
9/24/1959,56.779999,0.01720
9/25/1959,56.73,-0.00090
9/28/1959,57.150002,0.00740
9/29/1959,57.509998,0.00630
9/30/1959,56.880001,-0.01100
10/1/1959,56.939999,0.00110
10/2/1959,57.200001,0.00460
10/5/1959,57.139999,-0.00100
10/6/1959,57.09,-0.00090
10/7/1959,56.939999,-0.00260
10/8/1959,56.810001,-0.00230
10/9/1959,57,0.00330
10/12/1959,57.32,0.00560
10/13/1959,57.16,-0.00280
10/14/1959,56.709999,-0.00790
10/15/1959,56.869999,0.00280
10/16/1959,57.330002,0.00810
10/19/1959,57.009998,-0.00560
10/20/1959,56.66,-0.00610
10/21/1959,56.549999,-0.00190
10/22/1959,56,-0.00970
10/23/1959,56.560001,0.01000
10/26/1959,56.939999,0.00670
10/27/1959,57.419998,0.00840
10/28/1959,57.459999,0.00070
10/29/1959,57.41,-0.00090
10/30/1959,57.52,0.00190
11/2/1959,57.41,-0.00190
11/4/1959,57.259998,-0.00260
11/5/1959,57.32,0.00100
11/6/1959,57.599998,0.00490
11/9/1959,57.5,-0.00170
11/10/1959,57.48,-0.00030
11/11/1959,57.490002,0.00020
11/12/1959,57.169998,-0.00560
11/13/1959,56.849998,-0.00560
11/16/1959,56.220001,-0.01110
11/17/1959,56.380001,0.00280
11/18/1959,56.990002,0.01080
11/19/1959,56.939999,-0.00090
11/20/1959,56.970001,0.00050
11/23/1959,57.080002,0.00190
11/24/1959,57.349998,0.00470
11/25/1959,57.439999,0.00160
11/27/1959,57.700001,0.00450
11/30/1959,58.279999,0.01010
12/1/1959,58.700001,0.00720
12/2/1959,58.599998,-0.00170
12/3/1959,58.73,0.00220
12/4/1959,58.849998,0.00200
12/7/1959,58.959999,0.00190
12/8/1959,59.34,0.00640
12/9/1959,58.970001,-0.00620
12/10/1959,59.02,0.00080
12/11/1959,58.880001,-0.00240
12/14/1959,59.040001,0.00270
12/15/1959,58.900002,-0.00240
12/16/1959,58.970001,0.00120
12/17/1959,58.860001,-0.00190
12/18/1959,59.139999,0.00480
12/21/1959,59.209999,0.00120
12/22/1959,59.139999,-0.00120
12/23/1959,58.959999,-0.00300
12/24/1959,59,0.00070
12/28/1959,58.98,-0.00030
12/29/1959,59.299999,0.00540
12/30/1959,59.77,0.00790
12/31/1959,59.889999,0.00200
1/4/1960,59.91,0.00030
1/5/1960,60.389999,0.00800
1/6/1960,60.130001,-0.00430
1/7/1960,59.689999,-0.00730
1/8/1960,59.5,-0.00320
1/11/1960,58.77,-0.01230
1/12/1960,58.41,-0.00610
1/13/1960,58.080002,-0.00560
1/14/1960,58.400002,0.00550
1/15/1960,58.380001,-0.00030
1/18/1960,57.889999,-0.00840
1/19/1960,57.27,-0.01070
1/20/1960,57.07,-0.00350
1/21/1960,57.209999,0.00250
1/22/1960,57.380001,0.00300
1/25/1960,56.779999,-0.01050
1/26/1960,56.860001,0.00140
1/27/1960,56.720001,-0.00250
1/28/1960,56.130001,-0.01040
1/29/1960,55.610001,-0.00930
2/1/1960,55.959999,0.00630
2/2/1960,56.82,0.01540
2/3/1960,56.32,-0.00880
2/4/1960,56.27,-0.00090
2/5/1960,55.98,-0.00520
2/8/1960,55.32,-0.01180
2/9/1960,55.84,0.00940
2/10/1960,55.490002,-0.00630
2/11/1960,55.18,-0.00560
2/12/1960,55.459999,0.00510
2/15/1960,55.169998,-0.00520
2/16/1960,54.73,-0.00800
2/17/1960,55.029999,0.00550
2/18/1960,55.799999,0.01400
2/19/1960,56.240002,0.00790
2/23/1960,55.939999,-0.00530
2/24/1960,55.740002,-0.00360
2/25/1960,55.93,0.00340
2/26/1960,56.16,0.00410
2/29/1960,56.119999,-0.00070
3/1/1960,56.009998,-0.00200
3/2/1960,55.619999,-0.00700
3/3/1960,54.779999,-0.01510
3/4/1960,54.57,-0.00380
3/7/1960,54.02,-0.01010
3/8/1960,53.470001,-0.01020
3/9/1960,54.040001,0.01070
3/10/1960,53.830002,-0.00390
3/11/1960,54.240002,0.00760
3/14/1960,54.32,0.00150
3/15/1960,54.740002,0.00770
3/16/1960,55.040001,0.00550
3/17/1960,54.959999,-0.00150
3/18/1960,55.009998,0.00090
3/21/1960,55.07,0.00110
3/22/1960,55.290001,0.00400
3/23/1960,55.740002,0.00810
3/24/1960,55.98,0.00430
3/25/1960,55.98,0.00000
3/28/1960,55.860001,-0.00210
3/29/1960,55.779999,-0.00140
3/30/1960,55.66,-0.00220
3/31/1960,55.34,-0.00570
4/1/1960,55.43,0.00160
4/4/1960,55.540001,0.00200
4/5/1960,55.369999,-0.00310
4/6/1960,56.509998,0.02060
4/7/1960,56.52,0.00020
