dates,Close,NASDAQ_Change
5/21/1985,293.899994,-0.00200
5/22/1985,293,-0.00310
5/23/1985,292.200012,-0.00270
5/24/1985,292.100006,-0.00030
5/28/1985,290.899994,-0.00410
5/29/1985,290.600006,-0.00100
5/30/1985,289.899994,-0.00240
5/31/1985,290.799988,0.00310
6/3/1985,290.600006,-0.00070
6/4/1985,291,0.00140
6/5/1985,291.799988,0.00270
6/6/1985,291.899994,0.00030
6/7/1985,291,-0.00310
6/10/1985,290.700012,-0.00100
6/11/1985,290.5,-0.00070
6/12/1985,289.700012,-0.00280
6/13/1985,286.899994,-0.00970
6/14/1985,288,0.00380
6/17/1985,287.399994,-0.00210
6/18/1985,287.899994,0.00170
6/19/1985,288.200012,0.00100
6/20/1985,287.399994,-0.00280
6/21/1985,288.700012,0.00450
6/24/1985,290,0.00450
6/25/1985,292.299988,0.00790
6/26/1985,293.399994,0.00380
6/27/1985,295.299988,0.00650
6/28/1985,296.200012,0.00300
7/1/1985,296.5,0.00100
7/2/1985,296.899994,0.00130
7/3/1985,297.299988,0.00130
7/5/1985,298.600006,0.00440
7/8/1985,297.799988,-0.00270
7/9/1985,297.200012,-0.00200
7/10/1985,298.5,0.00440
7/11/1985,300.5,0.00670
7/12/1985,302.399994,0.00630
7/15/1985,303,0.00200
7/16/1985,305.200012,0.00730
7/17/1985,307.799988,0.00850
7/18/1985,306.899994,-0.00290
7/19/1985,307.799988,0.00290
7/22/1985,306.799988,-0.00320
7/23/1985,306.200012,-0.00200
7/24/1985,303.700012,-0.00820
7/25/1985,304.399994,0.00230
7/26/1985,304.600006,0.00070
7/29/1985,300.899994,-0.01210
7/30/1985,300.600006,-0.00100
7/31/1985,301.299988,0.00230
8/1/1985,304,0.00900
8/2/1985,304.5,0.00160
8/5/1985,302.100006,-0.00790
8/6/1985,300.200012,-0.00630
8/7/1985,298.200012,-0.00670
8/8/1985,298.700012,0.00170
8/9/1985,299.100006,0.00130
8/12/1985,298.299988,-0.00270
8/13/1985,297,-0.00440
8/14/1985,297.600006,0.00200
8/15/1985,297.600006,0.00000
8/16/1985,296.5,-0.00370
8/19/1985,295.600006,-0.00300
8/20/1985,296.399994,0.00270
8/21/1985,297.700012,0.00440
8/22/1985,296.899994,-0.00270
8/23/1985,296.700012,-0.00070
8/26/1985,296.299988,-0.00130
8/27/1985,296,-0.00100
8/28/1985,297,0.00340
8/29/1985,297.299988,0.00100
8/30/1985,297.700012,0.00130
9/3/1985,296.600006,-0.00370
9/4/1985,295.600006,-0.00340
9/5/1985,295.299988,-0.00100
9/6/1985,296.200012,0.00300
9/9/1985,296.100006,-0.00030
9/10/1985,294.5,-0.00540
9/11/1985,291.399994,-0.01050
9/12/1985,289.899994,-0.00510
9/13/1985,287.200012,-0.00930
9/16/1985,285.399994,-0.00630
9/17/1985,281.100006,-0.01510
9/18/1985,281,-0.00040
9/19/1985,283.600006,0.00930
9/20/1985,284.399994,0.00280
9/23/1985,286.100006,0.00600
9/24/1985,284.100006,-0.00700
9/25/1985,281.799988,-0.00810
9/26/1985,280.200012,-0.00570
9/30/1985,280.299988,0.00040
10/1/1985,281.799988,0.00540
10/2/1985,281.200012,-0.00210
10/3/1985,281.399994,0.00070
10/4/1985,280.5,-0.00320
10/7/1985,278.299988,-0.00780
10/8/1985,277,-0.00470
10/9/1985,278.299988,0.00470
10/10/1985,279.399994,0.00400
10/11/1985,281.799988,0.00860
10/14/1985,284.299988,0.00890
10/15/1985,285,0.00250
10/16/1985,286.700012,0.00600
10/17/1985,288.299988,0.00560
10/18/1985,288.399994,0.00030
10/21/1985,287.700012,-0.00240
10/22/1985,288.5,0.00280
10/23/1985,289.799988,0.00450
10/24/1985,290.600006,0.00280
10/25/1985,289.5,-0.00380
10/28/1985,289.200012,-0.00100
10/29/1985,291.100006,0.00660
10/30/1985,292.299988,0.00410
10/31/1985,292.5,0.00070
11/1/1985,294.100006,0.00550
11/4/1985,294.200012,0.00030
11/5/1985,295.299988,0.00370
11/6/1985,296.700012,0.00470
11/7/1985,297.5,0.00270
11/8/1985,300,0.00840
11/11/1985,302.299988,0.00770
11/12/1985,304.399994,0.00690
11/13/1985,303.899994,-0.00160
11/14/1985,305.200012,0.00430
11/15/1985,306.200012,0.00330
11/18/1985,306.100006,-0.00030
11/19/1985,306.899994,0.00260
11/20/1985,307,0.00030
11/21/1985,309.299988,0.00750
11/22/1985,310.799988,0.00480
11/25/1985,309.799988,-0.00320
11/26/1985,310.5,0.00230
11/27/1985,313,0.00810
11/29/1985,314,0.00320
12/2/1985,313,-0.00320
12/3/1985,313.100006,0.00030
12/4/1985,316.700012,0.01150
12/5/1985,318.200012,0.00470
12/6/1985,316.600006,-0.00500
12/9/1985,316.899994,0.00090
12/10/1985,317.299988,0.00130
12/11/1985,318.899994,0.00500
